Date,Value (kW)
01/01/2025,2.386
02/01/2025,2.305
03/01/2025,2.401
04/01/2025,4.389
05/01/2025,4.661
06/01/2025,1.786
07/01/2025,3.005
08/01/2025,1.102
09/01/2025,5.034
10/01/2025,1.957
11/01/2025,2.989
12/01/2025,3.286
13/01/2025,3.241
14/01/2025,2.247
15/01/2025,2.735
16/01/2025,2.187
17/01/2025,1.336
18/01/2025,3.887
19/01/2025,3.833
20/01/2025,7.238
21/01/2025,3.139
22/01/2025,3.419
23/01/2025,5.602
24/01/2025,3.426
25/01/2025,4.539
26/01/2025,3.364
27/01/2025,4.860
28/01/2025,1.915
29/01/2025,1.061
30/01/2025,2.961
31/01/2025,4.233
